"rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","has_affair","has_affair_num","affair_cat","rating_factor","religious_factor","happy_bin"
447,0,"Nữ",22,1.5,"Có con",3,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
448,0,"Nữ",37,15,"Có con",3,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
449,0,"Nữ",32,15,"Có con",4,14,3,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
478,0,"Nam",37,10,"Có con",2,14,5,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
482,0,"Nam",37,10,"Có con",4,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
486,0,"Nam",57,15,"Có con",5,20,5,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
489,0,"Nam",27,0.417,"Không có con",1,16,3,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
490,0,"Nữ",42,15,"Có con",5,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
491,0,"Nam",57,15,"Có con",3,16,6,1,"Không",0,"Không (0 lần)","1-Rất bất hạnh","3-Trung bình","Bất hạnh"
492,0,"Nam",37,10,"Có con",1,16,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
503,0,"Nam",37,15,"Có con",3,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
508,0,"Nam",37,15,"Có con",4,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
509,0,"Nữ",27,10,"Có con",5,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
512,0,"Nam",37,10,"Có con",2,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
515,0,"Nữ",22,0.125,"Không có con",4,12,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
517,0,"Nam",57,15,"Có con",5,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
532,0,"Nữ",37,15,"Có con",4,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
533,0,"Nam",22,4,"Có con",4,14,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
535,0,"Nam",27,7,"Có con",4,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
537,0,"Nam",57,15,"Có con",4,20,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
538,0,"Nam",32,15,"Có con",3,14,6,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
543,0,"Nữ",22,1.5,"Không có con",2,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
547,0,"Nữ",32,7,"Có con",4,17,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
550,0,"Nữ",37,15,"Có con",4,17,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
558,0,"Nữ",32,1.5,"Không có con",5,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
571,0,"Nam",42,10,"Có con",5,20,7,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
578,0,"Nữ",27,7,"Không có con",3,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
583,0,"Nam",37,15,"Không có con",4,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
586,0,"Nam",37,15,"Có con",4,14,3,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
594,0,"Nam",32,10,"Không có con",5,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
597,0,"Nữ",22,0.75,"Không có con",4,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
602,0,"Nữ",27,7,"Có con",4,12,2,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
603,0,"Nữ",27,7,"Có con",2,16,2,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
604,0,"Nữ",42,15,"Có con",5,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
612,0,"Nam",42,15,"Có con",4,17,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
613,0,"Nữ",27,7,"Có con",2,16,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
621,0,"Nữ",22,1.5,"Không có con",3,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
627,0,"Nam",37,15,"Có con",5,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
630,0,"Nữ",22,0.125,"Không có con",2,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
631,0,"Nam",27,1.5,"Không có con",4,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
632,0,"Nam",32,1.5,"Không có con",2,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
639,0,"Nam",27,1.5,"Không có con",2,17,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
645,0,"Nữ",27,10,"Có con",4,16,1,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
647,0,"Nam",42,15,"Có con",4,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
648,0,"Nữ",27,1.5,"Không có con",2,16,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
651,0,"Nam",27,4,"Không có con",2,18,6,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
655,0,"Nữ",32,10,"Có con",3,14,5,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
667,0,"Nữ",32,15,"Có con",3,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
670,0,"Nữ",22,0.75,"Không có con",2,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
671,0,"Nữ",37,15,"Có con",2,16,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
673,0,"Nam",27,4,"Có con",4,20,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
701,0,"Nam",27,4,"Không có con",1,20,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
705,0,"Nữ",27,10,"Có con",2,12,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
706,0,"Nữ",32,15,"Có con",5,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
709,0,"Nam",27,7,"Có con",5,12,5,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
717,0,"Nam",52,15,"Có con",2,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
719,0,"Nam",27,4,"Không có con",3,20,6,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
723,0,"Nam",37,4,"Có con",1,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
724,0,"Nam",27,4,"Có con",4,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
726,0,"Nữ",52,15,"Có con",5,12,1,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
734,0,"Nữ",57,15,"Có con",4,16,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
735,0,"Nam",27,7,"Có con",1,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
736,0,"Nam",37,7,"Có con",4,20,6,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
737,0,"Nam",22,0.75,"Không có con",2,14,4,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
739,0,"Nam",32,4,"Có con",2,18,5,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
743,0,"Nam",37,15,"Có con",4,20,6,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
745,0,"Nam",22,0.75,"Có con",2,14,4,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
747,0,"Nam",42,15,"Có con",4,20,6,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
751,0,"Nữ",52,15,"Có con",5,17,1,1,"Không",0,"Không (0 lần)","1-Rất bất hạnh","5-Rất tôn giáo","Bất hạnh"
752,0,"Nữ",37,15,"Có con",4,14,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
754,0,"Nam",27,7,"Có con",4,14,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
760,0,"Nam",32,4,"Có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
763,0,"Nữ",27,4,"Có con",2,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
774,0,"Nữ",27,4,"Có con",2,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
776,0,"Nam",37,15,"Có con",5,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
779,0,"Nữ",47,15,"Có con",5,12,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
784,0,"Nữ",32,10,"Có con",3,17,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
788,0,"Nữ",27,1.5,"Có con",4,17,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
794,0,"Nữ",57,15,"Có con",2,18,5,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
795,0,"Nữ",22,1.5,"Không có con",4,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
798,0,"Nam",42,15,"Có con",3,14,3,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
800,0,"Nam",57,15,"Có con",4,9,2,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
803,0,"Nam",57,15,"Có con",4,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
807,0,"Nữ",22,0.125,"Không có con",4,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
812,0,"Nữ",32,10,"Có con",4,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
820,0,"Nữ",42,15,"Có con",3,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
823,0,"Nữ",27,1.5,"Không có con",2,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
830,0,"Nam",32,0.125,"Có con",2,18,5,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
843,0,"Nữ",27,4,"Không có con",3,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
848,0,"Nữ",27,10,"Có con",2,16,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
851,0,"Nữ",32,7,"Có con",4,16,1,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
854,0,"Nữ",37,15,"Có con",4,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
856,0,"Nữ",42,15,"Có con",5,17,6,2,"Không",0,"Không (0 lần)","2-Bất hạnh","5-Rất tôn giáo","Bất hạnh"
857,0,"Nam",32,1.5,"Có con",4,14,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
859,0,"Nữ",32,4,"Có con",3,17,5,3,"Không",0,"Không (0 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
863,0,"Nữ",37,7,"Không có con",4,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
